date,open,high,low,close,volume
2025-05-14,311.0,319.08,309.01,315.1,839554.0
2025-05-15,314.0,319.41,312.33,318.2,543229.0
2025-05-16,320.0,325.44,317.33,318.0,627222.0
2025-05-19,315.11,326.73,315.11,324.0,933675.0
2025-05-20,323.2,330.49,322.51,327.09,706908.0
2025-05-21,323.81,326.43,317.36,318.3,677646.0
2025-05-22,319.95,322.95,317.23,322.95,821049.0
2025-05-23,321.0,321.0,309.79,310.76,1140392.0
2025-05-27,317.31,322.0,312.77,321.19,1111350.0
2025-05-28,321.2,325.98,315.68,324.8,1116374.0
2025-05-29,325.05,327.0,316.05,317.0,1617586.0
2025-05-30,316.0,318.0,311.32,317.93,2177344.0
2025-06-02,315.7,323.67,313.14,322.75,969890.0
2025-06-03,322.0,340.25,321.65,335.95,1892644.0
2025-06-04,336.39,339.15,333.38,335.19,1236216.0
2025-06-05,336.0,338.49,253.61,256.78,3393338.0
2025-06-06,261.0,275.94,257.17,266.1,10490435.0
