Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
VST,VISTRA CORP,Utilities,Equity,"15,840,880.00",0.10,"15,840,880.00","90,005.00",176.00,United States,New York Stock Exchange Inc.,USD,1.00,--
CARR,CARRIER GLOBAL CORP,Industrials,Equity,"15,717,033.60",0.10,"15,717,033.60","221,992.00",70.80,United States,New York Stock Exchange Inc.,USD,1.00,--
FCX,FREEPORT MCMORAN INC,Materials,Equity,"15,336,832.16",0.10,"15,336,832.16","381,134.00",40.24,United States,New York Stock Exchange Inc.,USD,1.00,--
DLR,DIGITAL REALTY TRUST REIT INC,Real Estate,Equity,"15,276,089.50",0.10,"15,276,089.50","87,925.00",173.74,United States,New York Stock Exchange Inc.,USD,1.00,--
AFL,AFLAC INC,Financials,Equity,"15,225,128.79",0.10,"15,225,128.79","146,297.00",104.07,United States,New York Stock Exchange Inc.,USD,1.00,--
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Equity,"15,074,979.90",0.10,"15,074,979.90","113,431.00",132.90,United States,NASDAQ,USD,1.00,--
NSC,NORFOLK SOUTHERN CORP,Industrials,Equity,"14,833,667.64",0.10,"14,833,667.64","59,818.00",247.98,United States,New York Stock Exchange Inc.,USD,1.00,--
ALL,ALLSTATE CORP,Financials,Equity,"14,798,551.74",0.10,"14,798,551.74","70,049.00",211.26,United States,New York Stock Exchange Inc.,USD,1.00,--
AXON,AXON ENTERPRISE INC,Industrials,Equity,"14,710,017.53",0.10,"14,710,017.53","19,379.00",759.07,United States,NASDAQ,USD,1.00,--
KMI,KINDER MORGAN INC,Energy,Equity,"14,651,337.12",0.10,"14,651,337.12","513,002.00",28.56,United States,New York Stock Exchange Inc.,USD,1.00,--
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,"14,544,892.18",0.10,"14,544,892.18","141,446.00",102.83,United States,NASDAQ,USD,1.00,--
LNG,CHENIERE ENERGY INC,Energy,Equity,"14,482,416.42",0.09,"14,482,416.42","59,274.00",244.33,United States,New York Stock Exchange Inc.,USD,1.00,--
WDAY,WORKDAY INC CLASS A,Information Technology,Equity,"14,202,342.72",0.09,"14,202,342.72","56,556.00",251.12,United States,NASDAQ,USD,1.00,--
MRVL,MARVELL TECHNOLOGY INC,Information Technology,Equity,"14,183,220.76",0.09,"14,183,220.76","227,441.00",62.36,United States,NASDAQ,USD,1.00,--
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,Equity,"14,135,084.30",0.09,"14,135,084.30","165,226.00",85.55,United States,New York Stock Exchange Inc.,USD,1.00,--
TFC,TRUIST FINANCIAL CORP,Financials,Equity,"14,125,243.16",0.09,"14,125,243.16","356,518.00",39.62,United States,New York Stock Exchange Inc.,USD,1.00,--
